"Year","Age","Gender","Race","Prev_Normal","Prev_Under","Prev_Over","Prev_Obese"
2019,4,"Male","Non_Hispanic_White",0.156163563773809,0.827189986262074,0.0130965097475543,0.00354994021656371
1975,5,"Male","Non_Hispanic_White",0.0810573026391348,0.915579113172639,0.00299140259585701,0.000372181592368966
1976,5,"Male","Non_Hispanic_White",0.0834254712561776,0.912864199798385,0.00321408682227959,0.000496242123158623
1977,5,"Male","Non_Hispanic_White",0.0857936398732206,0.910149286424129,0.00343677104870216,0.000620302653948278
1978,5,"Male","Non_Hispanic_White",0.0881618084902634,0.907434373049875,0.00365945527512474,0.000744363184737932
1979,5,"Male","Non_Hispanic_White",0.0905299771073063,0.90471945967562,0.00388213950154732,0.000868423715527589
1980,5,"Male","Non_Hispanic_White",0.0928981457243491,0.902004546301364,0.0041048237279699,0.000992484246317244
1981,5,"Male","Non_Hispanic_White",0.095266314341392,0.899289632927109,0.00432750795439248,0.0011165447771069
1982,5,"Male","Non_Hispanic_White",0.0976344829584347,0.896574719552853,0.00455019218081505,0.00124060530789656
1983,5,"Male","Non_Hispanic_White",0.100002651575478,0.893859806178598,0.00477287640723764,0.00136466583868621
1984,5,"Male","Non_Hispanic_White",0.10237082019252,0.891144892804343,0.00499556063366021,0.00148872636947587
1985,5,"Male","Non_Hispanic_White",0.104738988809563,0.888429979430088,0.00521824486008279,0.00161278690026552
1986,5,"Male","Non_Hispanic_White",0.107107157426606,0.885715066055832,0.00544092908650536,0.00173684743105518
1987,5,"Male","Non_Hispanic_White",0.109475326043649,0.883000152681578,0.00566361331292794,0.00186090796184484
1988,5,"Male","Non_Hispanic_White",0.111843494660692,0.880285239307324,0.00588629753935052,0.00198496849263448
1989,5,"Male","Non_Hispanic_White",0.114211663277735,0.877570325933068,0.0061089817657731,0.00210902902342414
1990,5,"Male","Non_Hispanic_White",0.116579831894778,0.874855412558813,0.00633166599219568,0.0022330895542138
1991,5,"Male","Non_Hispanic_White",0.118948000511821,0.872140499184558,0.00655435021861825,0.00235715008500345
1992,5,"Male","Non_Hispanic_White",0.123659824209181,0.867805012986439,0.00641610887473693,0.00211905392964255
1993,5,"Male","Non_Hispanic_White",0.128371647906541,0.863469526788322,0.00627786753085562,0.00188095777428164
1994,5,"Male","Non_Hispanic_White",0.133083471603901,0.859134040590205,0.0061396261869743,0.00164286161892073
1995,5,"Male","Non_Hispanic_White",0.137795295301261,0.854798554392087,0.00600138484309299,0.00140476546355982
1996,5,"Male","Non_Hispanic_White",0.142507118998621,0.850463068193968,0.00586314349921167,0.00116666930819891
1997,5,"Male","Non_Hispanic_White",0.147218942695981,0.846127581995851,0.00572490215533035,0.000928573152837999
1998,5,"Male","Non_Hispanic_White",0.151930766393341,0.841792095797733,0.00558666081144905,0.00069047699747709
1999,5,"Male","Non_Hispanic_White",0.156642590090701,0.837456609599617,0.00544841946756773,0.00045238084211618
2000,5,"Male","Non_Hispanic_White",0.161354413788061,0.833121123401498,0.00531017812368641,0.000214284686755271
2001,5,"Male","Non_Hispanic_White",0.162637179726809,0.831030905091265,0.00612404342368954,0.000207871758236557
2002,5,"Male","Non_Hispanic_White",0.163919945665558,0.828940686781032,0.00693790872369268,0.000201458829717844
2003,5,"Male","Non_Hispanic_White",0.165202711604307,0.826850468470798,0.0077517740236958,0.00019504590119913
2004,5,"Male","Non_Hispanic_White",0.166485477543056,0.824760250160564,0.00856563932369895,0.000188632972680416
2005,5,"Male","Non_Hispanic_White",0.167768243481804,0.82267003185033,0.00937950462370207,0.000182220044161703
2006,5,"Male","Non_Hispanic_White",0.169051009420553,0.820579813540098,0.0101933699237052,0.000175807115642989
2007,5,"Male","Non_Hispanic_White",0.170333775359302,0.818489595229867,0.0110072352237083,0.000169394187124276
2008,5,"Male","Non_Hispanic_White",0.171616541298051,0.816399376919633,0.0118211005237115,0.000162981258605562
2009,5,"Male","Non_Hispanic_White",0.172899307236799,0.8143091586094,0.0126349658237146,0.000156568330086848
2010,5,"Male","Non_Hispanic_White",0.174182073175548,0.812218940299167,0.0134488311237178,0.000150155401568135
2011,5,"Male","Non_Hispanic_White",0.175185742724718,0.809034445969217,0.0146826331727063,0.00109717813335946
2012,5,"Male","Non_Hispanic_White",0.176189412273888,0.805849951639266,0.0159164352216948,0.00204420086515079
2013,5,"Male","Non_Hispanic_White",0.177193081823058,0.802665457309317,0.0171502372706833,0.00299122359694212
2014,5,"Male","Non_Hispanic_White",0.178196751372228,0.799480962979367,0.0183840393196718,0.00393824632873345
2015,5,"Male","Non_Hispanic_White",0.179200420921398,0.796296468649416,0.0196178413686603,0.00488526906052478
2016,5,"Male","Non_Hispanic_White",0.180204090470568,0.793111974319468,0.0208516434176489,0.00583229179231611
2017,5,"Male","Non_Hispanic_White",0.181207760019738,0.789927479989518,0.0220854454666374,0.00677931452410744
2018,5,"Male","Non_Hispanic_White",0.182211429568908,0.786742985659568,0.0233192475156259,0.00772633725589876
2019,5,"Male","Non_Hispanic_White",0.183215099118078,0.783558491329618,0.0245530495646144,0.0086733599876901
